neuron_id,super_class,class,cell_type,side,nt_type,nt_score,x,y,z
720575940629778587,visual_projection,,LPLC1,left,ACH,0.6,390.2,220.3,220.1
720575940629787223,visual_projection,,LPLC1,right,ACH,0.61,678.1,223.4,176.7
720575940629821500,sensory,gustatory,LB3,right,SER,0.61,570.7,369.9,118.3
720575940629830508,sensory,olfactory,ORN_DA2,left,ACH,0.56,447.4,255.9,25.6
720575940629852866,sensory,gustatory,LB3,left,ACH,0.47,466.6,375.8,127.1
720575940629884119,sensory,gustatory,LB3,right,ACH,0.42,552.7,340.3,110.3
720575940629918762,sensory,olfactory,ORN_DM1,left,ACH,0.41,443.3,267.6,23.0
720575940629961219,central,,LAL010,left,ACH,0.85,472.6,212.2,118.2
720575940629964591,visual_projection,,LC4,right,ACH,0.61,664.0,281.7,142.5
720575940629967703,visual_projection,,LPLC2,right,ACH,0.54,699.1,184.2,182.0
720575940629986816,central,,CL092,right,ACH,0.88,698.9,191.6,56.5
720575940629996741,visual_projection,,LC16,left,ACH,0.57,379.4,280.4,150.7
720575940630006521,visual_projection,,LT62,right,ACH,0.91,718.5,240.5,76.4
720575940630006636,central,,PLP092,right,ACH,0.87,706.0,177.7,170.7
720575940630041452,central,,CB0295,left,ACH,0.86,470.4,252.2,217.3
720575940630072364,central,,CB1958,left,GLUT,0.65,456.6,188.1,199.0
720575940630077558,central,ALLN,"vLN28,vLN29",left,GLUT,0.56,451.6,285.7,35.6
720575940630085583,descending,,DNa03,right,ACH,0.87,607.2,169.5,83.4
720575940630086698,central,,AVLP258,right,ACH,0.86,690.4,231.9,85.5
720575940630154660,visual_projection,,LC4,right,ACH,0.63,668.9,277.1,135.7
720575940630195909,sensory,gustatory,"LB1a,LB1d",left,ACH,0.47,464.0,370.9,132.3
720575940630209603,visual_projection,,LPLC2,left,ACH,0.5,383.7,202.7,229.4
720575940630222812,central,,PS020,left,ACH,0.9,483.4,230.1,143.9
720575940630233916,sensory,gustatory,LB3,left,ACH,0.55,505.8,315.1,107.8
720575940630257772,sensory,olfactory,ORN_DA2,right,ACH,0.6,601.8,258.7,3.6
720575940630291767,descending,,DNge046,left,GABA,0.59,446.3,341.0,183.5
720575940630308163,visual_projection,,LC16,left,ACH,0.43,372.4,292.3,143.2
720575940630318533,central,,PVLP069,right,ACH,0.84,688.1,280.2,98.0
720575940630321464,visual_projection,,LPLC4,left,ACH,0.86,373.2,206.5,203.0
720575940630323303,central,ALLN,"vLN28,vLN29",right,GLUT,0.59,580.4,296.5,20.4
720575940630340474,central,ALLN,vLN25,right,GLUT,0.58,618.0,298.6,45.5
720575940630357886,visual_projection,,LC16,left,ACH,0.57,364.2,280.4,152.8
720575940630359290,central,,LHPV2i1b,left,ACH,0.9,392.0,194.9,183.5
720575940630385000,visual_projection,,LTe65,left,ACH,0.85,442.3,189.8,210.0
720575940630407388,central,ALLN,lLN2T_b,right,SER,0.35,624.4,218.1,33.2
720575940630420281,visual_projection,,LPLC1,left,ACH,0.58,386.0,207.8,215.3
720575940630460663,central,,PVLP006,left,GLUT,0.74,400.8,170.3,145.9
720575940630460919,central,,OA-VUMa4,center,OCT,0.76,525.5,326.3,136.4
720575940630461660,central,,CB0499,right,ACH,0.8,633.3,339.8,142.4
720575940630484495,visual_projection,,LC4,left,ACH,0.68,336.5,214.8,164.9
720575940630496975,sensory,olfactory,ORN_DM1,left,ACH,0.42,420.5,242.9,46.4
720575940630502522,visual_projection,,LPT26,right,ACH,0.8,710.5,248.2,233.2
720575940630538362,visual_projection,,LC16,left,ACH,0.57,379.4,293.5,150.7
720575940630552151,sensory,gustatory,LB3,right,GLUT,0.41,571.3,367.6,118.1
720575940630553415,sensory,gustatory,LB3,left,ACH,0.57,482.6,358.4,123.1
720575940630589036,central,,CB0016,left,GLUT,0.82,424.1,328.2,113.2
720575940630607738,descending,,DNae007,left,ACH,0.75,474.0,241.4,120.9
720575940630650936,visual_projection,,LPLC2,right,ACH,0.55,701.6,189.1,180.6
720575940630657015,central,,PS232,left,ACH,0.73,482.8,219.0,109.2
720575940630657271,central,,IB061,right,ACH,0.87,604.1,199.2,214.2
720575940630658578,central,,PS232,right,ACH,0.79,578.3,196.6,145.9
720575940630664273,sensory,olfactory,ORN_DM1,left,SER,0.41,461.5,265.3,22.0
720575940630689644,descending,,DNpe030,left,ACH,0.63,469.8,263.5,96.9
720575940630719831,visual_projection,,LPLC2,right,ACH,0.73,675.2,212.6,189.7
720575940630731847,visual_projection,,LPLC2,left,ACH,0.79,389.6,219.2,222.7
720575940630733884,central,,PVLP015,right,GLUT,0.6,689.6,223.7,63.7
720575940630741701,sensory,gustatory,LB2d,right,GLUT,0.6,570.2,370.7,118.4
720575940630742521,central,,PVLP008,right,GLUT,0.61,668.2,143.4,79.9
720575940630745148,visual_projection,,LPLC4,right,ACH,0.75,691.3,197.4,174.8
720575940630758418,descending,,DNb01,right,GLUT,0.76,618.1,252.7,69.2
720575940630797113,sensory,gustatory,LB3,left,ACH,0.34,489.2,341.7,110.5
720575940630831185,visual_projection,,LPLC2,left,ACH,0.59,344.2,170.3,193.5
720575940630839371,descending,,DNge146,left,GABA,0.6,393.6,308.2,139.3
720575940630851036,visual_projection,,LC4,left,ACH,0.62,381.1,266.3,162.7
720575940630882039,sensory,gustatory,LB3,right,SER,0.45,572.5,370.8,117.8
720575940630883897,visual_projection,,LC16,right,ACH,0.59,668.8,310.3,117.6
720575940630914863,visual_projection,,LC16,left,ACH,0.55,393.0,294.7,157.8
720575940630968335,sensory,gustatory,LB3,right,SER,0.41,548.2,330.7,106.4
720575940630998339,visual_projection,,LC4,left,ACH,0.6,367.2,263.4,157.0
720575940631032657,visual_projection,,LC4,right,ACH,0.56,689.5,281.9,122.0
720575940631059501,visual_projection,,LPLC1,right,ACH,0.69,677.0,225.1,176.8
720575940631082124,sensory,gustatory,LB1e,left,ACH,0.47,465.1,373.2,136.4
720575940631082808,descending,,MDN,left,ACH,0.78,526.0,119.0,123.3
720575940631086151,visual_projection,,LC16,right,ACH,0.61,663.1,308.6,124.0
720575940631091407,descending,,DNge099,left,GLUT,0.61,503.4,311.3,154.5
720575940631092943,central,,CB0016,right,GLUT,0.72,590.7,358.8,83.9
720575940631095158,visual_projection,,LPLC2,right,ACH,0.53,695.0,192.3,186.0
720575940631122191,descending,,DNp43,left,ACH,0.92,465.3,190.8,136.2
720575940631123759,visual_projection,,LPLC1,right,ACH,0.64,677.6,224.5,176.8
720575940631124598,visual_projection,,LC16,right,ACH,0.62,668.6,307.2,117.4
720575940631147148,sensory,gustatory,LB3,right,SER,0.43,566.9,360.3,112.0
720575940631147776,central,,DCH,right,GABA,0.87,385.4,255.1,243.6
720575940631153491,visual_projection,,LC16,right,ACH,0.67,659.3,313.3,123.2
720575940631158487,visual_projection,,LTe76,left,ACH,0.91,427.8,212.8,211.5
720575940631165814,visual_projection,,LC16,right,ACH,0.72,674.6,290.6,126.7
720575940631168057,descending,,DNg60,left,GABA,0.5,472.8,324.8,122.4
720575940631176151,central,,IB114,right,GABA,0.78,620.4,210.4,198.7
720575940631189817,central,,PLP229,right,ACH,0.82,599.5,215.0,213.5
720575940631204163,sensory,gustatory,LB1e,right,ACH,0.42,569.4,363.8,113.5
720575940631217782,sensory,olfactory,ORN_DM1,right,SER,0.37,574.5,275.3,9.3
720575940631230508,visual_projection,,LC16,right,ACH,0.66,663.8,309.7,120.8
720575940631233581,visual_projection,,LC16,left,ACH,0.51,390.1,293.4,149.4
720575940631240296,sensory,olfactory,ORN_DM1,left,SER,0.39,428.8,259.1,31.1
720575940631282732,central,,PS020,right,ACH,0.92,608.5,166.8,83.4
720575940631283512,central,,CB0556,right,GABA,0.63,586.1,296.8,90.8
720575940631312428,visual_projection,,LPLC2,right,ACH,0.57,694.1,195.0,170.3
720575940631321704,central,ALON,AL-AST1,right,ACH,0.91,602.0,243.0,40.1
720575940631335528,central,,PS001,right,GABA,0.71,706.8,194.1,106.6
720575940631338271,visual_projection,,LC4,left,ACH,0.56,370.4,265.2,160.0
720575940631347011,central,ALPN,VP2_l2PN,right,ACH,0.88,582.1,258.4,78.5
720575940631349335,central,,CB0573,right,DA,0.71,549.8,367.7,170.4
720575940631380695,visual_projection,,LPLC2,left,ACH,0.58,358.9,189.5,194.1
720575940631383400,central,,PLP029,left,GLUT,0.67,356.1,207.7,109.1
720575940631393484,sensory,gustatory,LB3,left,ACH,0.53,489.5,355.2,117.4
720575940631397549,visual_projection,,LPLC2,right,ACH,0.54,700.0,190.6,166.0
720575940631414223,visual_projection,,LC16,right,ACH,0.71,653.1,320.9,125.2
720575940631450669,visual_projection,,LPLC1,left,ACH,0.54,378.3,205.4,215.5
720575940631467591,sensory,olfactory,ORN_DA2,right,ACH,0.65,593.7,245.9,2.0
720575940631501676,optic,ME.LO,LMa2,right,GABA,0.73,712.0,273.7,102.6
720575940631517251,central,,AOTU019,right,GABA,0.6,613.5,186.5,23.7
720575940631534161,central,,PVLP112b,right,GABA,0.78,671.2,211.9,181.0
720575940631576367,visual_projection,,LC16,left,ACH,0.56,374.2,291.4,146.6
720575940631582751,visual_projection,,LPLC2,right,ACH,0.44,677.2,209.2,196.9
720575940631587641,central,,CB3983,left,ACH,0.83,402.1,169.4,147.7
720575940631617017,central,,VES064,left,GLUT,0.66,437.3,190.4,226.1
720575940631619921,central,ALLN,lLN2X12,left,ACH,0.49,484.0,240.9,61.1
720575940631625979,central,,LAL016,left,ACH,0.89,433.8,142.8,79.2
720575940631642937,central,,CB3114,right,ACH,0.71,580.6,201.4,150.5
720575940631656504,sensory,gustatory,LB3,right,SER,0.63,572.7,369.4,116.8
720575940631663052,central,,CB3400,left,ACH,0.84,371.2,274.4,124.6
720575940631693610,central,,AMMC-A1,right,ACH,0.34,615.8,227.3,130.6
720575940631703608,central,,CB0872,left,ACH,0.92,476.4,365.8,125.3
720575940631704716,central,ALLN,lLN1_bc,right,ACH,0.28,602.0,238.3,40.1
720575940631705130,descending,,DNg111,left,GLUT,0.91,501.9,297.4,178.7
720575940631742405,visual_projection,,LPLC2,right,ACH,0.59,679.0,220.7,176.7
720575940631770593,central,,CB0431,left,ACH,0.69,457.2,200.5,198.4
720575940631839457,central,,"LAL028, LAL029",right,ACH,0.83,617.0,149.2,46.0
720575940631842360,central,,LHAD1g1,right,GABA,0.62,726.9,154.2,110.3
720575940631898285,sensory,gustatory,LB3,left,ACH,0.57,463.6,375.3,129.8
720575940631907159,central,ALLN,lLN2T_d,right,GABA,0.58,599.4,241.0,40.1
720575940631914700,central,,CB2305,right,ACH,0.74,639.1,256.5,128.9
720575940631959097,descending,,DNge042,left,ACH,0.85,390.9,307.5,144.1
720575940632005573,visual_projection,,LPLC1,right,ACH,0.65,672.9,211.4,193.6
